RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents,TotalTimesLate,IncomePerPerson
0,51,0,0.391152212,4000.0,6,0,2,0,0.0,0,4000.0
0.878971646,76,1,0.319622387,2965.0,6,0,2,0,1.0,1,1482.5
0.014451426,51,0,0.14010616,8100.0,10,0,1,0,0.0,0,8100.0
0.524186492,54,0,0.341441576,6700.0,7,0,1,0,0.0,0,6700.0
0,36,0,0.162313433,2679.0,2,0,0,0,0.0,0,2679.0
0.420916417,29,0,0.272019664,2440.0,9,0,0,1,0.0,1,2440.0
0.04499884,44,0,0.270987738,7420.0,10,0,1,0,0.0,0,7420.0
0.101865893,35,0,0.081981782,4500.0,6,0,0,0,0.0,0,4500.0
0.221046443,28,1,0.120457604,2971.0,4,0,0,0,2.0,1,990.3333333333334
0,35,0,0.407518496,5000.0,6,0,1,0,0.0,0,5000.0
0.996949411,38,1,0.38394312,6750.0,8,1,0,2,2.0,4,2250.0
0.302767899,41,0,0.663239075,3500.0,6,0,1,0,2.0,0,1166.6666666666667
0.434681974,65,0,0.217715815,7100.0,5,0,1,0,0.0,0,7100.0
0.213026465,62,0,0.278072193,10000.0,11,0,2,0,0.0,0,10000.0
0.420229501,62,0,0.283446045,3400.0,7,0,0,0,0.0,0,3400.0
0.9999999,30,0,0.105691057,983.0,2,0,0,0,1.0,0,491.5
0.223059134,49,0,0.412097984,6000.0,15,0,2,1,3.0,1,1500.0
0.697232569,48,0,1.239.458.779,3177.0,6,0,2,0,3.0,0,794.25
0.03721824,66,0,1.044.145.873,2083.0,10,0,2,0,0.0,0,2083.0
0.415876199,76,1,0.268536554,7700.0,13,0,1,0,0.0,1,7700.0
0.056328581,64,0,0.01533163,9000.0,7,0,0,0,0.0,0,9000.0
0.974378585,26,3,0.079365079,1700.0,3,1,0,0,0.0,4,1700.0
1.070.964.518,39,0,0.143387604,3500.0,4,0,0,0,2.0,0,1166.6666666666667
0.024465318,52,0,0.232873915,9794.0,28,0,2,0,2.0,0,3264.6666666666665
0.144168877,56,0,0.720129708,4008.0,16,0,2,0,0.0,0,4008.0
0,47,0,0.190867681,9000.0,10,0,2,0,0.0,0,9000.0
0.063646818,87,0,0.006127056,6201.0,6,0,0,0,0.0,0,6201.0
0.179606424,50,0,0.078956062,9080.0,14,0,0,0,1.0,0,4540.0
0.332232672,38,0,2146.05.00,1.0,11,0,2,0,2.0,0,0.3333333333333333
0.125810099,47,0,0.661186424,10400.0,10,0,2,0,2.0,0,3466.6666666666665
0.325831361,72,0,0.620641562,3584.0,23,0,1,0,0.0,0,3584.0
0,39,0,0,6000.0,2,0,0,0,0.0,0,6000.0
0.110179077,79,0,0.306094982,5200.0,13,0,1,0,0.0,0,5200.0
0.285947842,45,0,0.15109586,9033.0,8,0,2,0,3.0,0,2258.25
0.004444332,34,0,1161,1.0,10,0,2,0,0.0,0,1.0
0,39,0,0.362727597,2800.0,6,0,1,0,0.0,0,2800.0
0.022180474,58,0,0.142871732,19583.0,10,0,0,0,0.0,0,19583.0
0.703330637,54,0,0.314964487,4082.0,6,0,1,0,1.0,0,2041.0
0.03689631,74,0,0.016098966,5900.0,2,0,0,0,0.0,0,5900.0
0.018265099,55,0,0.012643379,7671.0,6,0,1,0,0.0,0,7671.0
0.642178911,43,1,0.11009539,5031.0,4,1,0,2,3.0,4,1257.75
0.038017487,40,0,0.340980846,4750.0,7,0,1,0,2.0,0,1583.3333333333333
0.587050233,46,0,0.129205922,5200.0,9,0,1,0,4.0,0,1040.0
0.096226353,39,0,0.327779461,3300.0,7,0,1,0,2.0,0,1100.0
0.409008842,74,0,0.427517132,1896.0,5,0,0,0,0.0,0,1896.0
0.376321029,60,0,0.508070344,4150.0,10,0,1,0,0.0,0,4150.0
0.738102106,36,0,0.495719844,2569.0,15,0,0,0,0.0,0,2569.0
0.693070168,37,0,0.270384359,4500.0,11,0,0,0,0.0,0,4500.0
0.9999999,32,0,0.051716645,2300.0,6,0,0,1,0.0,1,2300.0
0.750416662,41,0,0.388433474,11100.0,8,0,2,0,2.0,0,3700.0
0.336291482,39,0,0.651485698,3600.0,8,0,2,0,2.0,0,1200.0
0.044121015,35,0,0.191635601,8583.0,6,0,1,0,2.0,0,2861.0
0.735648739,35,0,0.993622449,4703.0,14,0,1,0,4.0,0,940.6
0.046892724,36,0,0.223856502,5574.0,12,0,0,0,1.0,0,2787.0
0.754010532,41,0,0.332891749,5283.0,10,0,0,0,1.0,0,2641.5
0.062476135,61,0,0.555658627,8623.0,17,0,2,0,0.0,0,8623.0
0.322834196,42,0,0.245435354,27000.0,9,0,1,0,2.0,0,9000.0
0.733381329,28,0,0.133584196,2125.0,6,0,0,0,0.0,0,2125.0
0.366445161,80,1,0.234226448,4627.0,11,0,1,0,0.0,1,4627.0
0.312891043,56,0,0.282491944,6516.0,8,0,1,0,0.0,0,6516.0
0.148294445,67,0,0.243046641,2336.0,7,0,0,0,1.0,0,1168.0
0.228348139,77,0,0.514637658,6250.0,21,0,1,0,0.0,0,6250.0
0.920265781,36,0,0.063548733,2800.0,3,1,0,0,0.0,1,2800.0
0.244249754,57,2,0.620934638,6333.0,23,0,1,0,0.0,2,6333.0
0,32,0,0.387551113,2200.0,6,0,1,0,0.0,0,2200.0
0.200630982,28,0,0.503374156,4000.0,3,0,1,0,2.0,0,1333.3333333333333
0.108178364,36,0,0.662162162,9397.0,10,0,2,0,1.0,0,4698.5
0.013545279,43,0,1.889.858.233,1833.0,16,0,2,0,0.0,0,1833.0
0.026771305,51,0,0.345159565,5608.0,8,0,3,0,2.0,0,1869.3333333333333
0.219694435,28,0,0.517584098,2615.0,14,0,0,0,2.0,0,871.6666666666666
0.266771475,60,0,0.358292831,6583.0,7,0,1,0,0.0,0,6583.0
0.410095228,32,0,0.616676665,5000.0,15,0,1,0,0.0,0,5000.0
0.280187573,34,0,0.540374263,3900.0,6,0,1,0,1.0,0,1950.0
0.010215404,62,0,0.16616018,10200.0,16,0,1,0,0.0,0,10200.0
0.212264597,32,0,0.087685915,25750.0,10,0,1,0,3.0,0,6437.5
0.9999999,60,1,0.318011491,4002.0,5,0,0,0,2.0,1,1334.0
0.657927591,54,1,0.104836092,3080.0,5,0,0,0,1.0,1,1540.0
0.020095961,59,0,0.219407374,8841.0,10,0,1,0,2.0,0,2947.0
0.380457492,41,0,0.605129249,9825.0,13,0,1,0,3.0,0,2456.25
0.01740913,79,0,0.151842665,5643.0,15,0,1,0,0.0,0,5643.0
0.093943061,55,0,0.337946943,1733.0,7,0,0,0,0.0,0,1733.0
0,37,0,0.449179424,7250.0,6,0,2,0,0.0,0,7250.0
0.012113361,61,0,0.085272529,6402.0,9,0,0,0,0.0,0,6402.0
0,29,0,0.515296941,1666.0,2,0,1,0,0.0,0,1666.0
0.011459907,64,0,0.001809351,10500.0,10,0,0,0,0.0,0,10500.0
0.130314251,43,0,0.484404049,4840.0,15,0,1,0,0.0,0,4840.0
0.20231365,57,0,0.121492313,9300.0,6,0,1,0,0.0,0,9300.0
0.154978525,38,0,0.039988575,3500.0,4,0,0,0,0.0,0,3500.0
0.619591259,76,0,0.39610065,6000.0,12,0,1,1,2.0,1,2000.0
0.9999999,85,0,0.382130763,3838.0,3,0,1,0,0.0,0,3838.0
0.014065841,45,0,0.27320818,15500.0,8,0,1,0,3.0,0,3875.0
0,42,0,0.227238638,6666.0,7,0,1,0,0.0,0,6666.0
0.031631362,70,0,0.014990631,1600.0,8,0,0,0,0.0,0,1600.0
0.168677611,76,0,0.137035949,10208.0,7,0,2,0,0.0,0,10208.0
0.869252639,71,0,6.202.185.792,365.0,9,0,1,0,0.0,0,365.0
0.105924972,34,0,0.120209474,4200.0,10,0,0,0,1.0,0,2100.0
0.019752365,63,0,0.050376155,10500.0,9,0,0,0,0.0,0,10500.0
0.087891921,59,1,0.223786902,5893.0,9,1,1,1,1.0,3,2946.5
0.671554741,27,0,0.055956158,3466.0,4,0,0,0,0.0,0,3466.0
0.001124965,56,0,0.235252107,7000.0,7,0,1,0,0.0,0,7000.0
0.000808265,54,1,0.255594705,10500.0,19,0,1,0,0.0,1,10500.0
0.047798088,48,0,0.085745926,6320.0,4,0,0,0,1.0,0,3160.0
0.96289138,61,4,0.509008389,7270.0,12,0,2,0,0.0,4,7270.0
0.013254642,65,0,0.221313338,4400.0,7,0,1,0,0.0,0,4400.0
0.197571525,37,0,0.377027327,4500.0,8,0,1,0,0.0,0,4500.0
0.010871331,61,0,0.028492877,4000.0,13,0,0,0,0.0,0,4000.0
0.9999999,35,0,0,3559.0,0,1,0,0,2.0,1,1186.3333333333333
0.082383696,47,1,0.268902392,13000.0,11,0,1,0,3.0,1,3250.0
0.557177122,42,0,0.48321131,7921.0,11,0,6,0,2.0,0,2640.3333333333335
0.336666592,61,1,0.284350721,13514.0,20,0,2,0,0.0,1,13514.0
0.315021141,43,1,0.119114169,4650.0,8,0,0,0,1.0,1,2325.0
0.523462094,47,2,0.569574734,6395.0,11,0,1,0,2.0,2,2131.6666666666665
0.007523277,63,0,0.361732147,9213.0,15,0,1,0,2.0,0,3071.0
0.689748288,51,0,0.604125249,4023.0,6,0,1,0,0.0,0,4023.0
0.307543651,50,0,0.386075949,7583.0,16,0,1,0,0.0,0,7583.0
0.104317914,44,0,0.553618298,5333.0,4,0,2,0,0.0,0,5333.0
0.340558919,63,0,2.817.145.524,15000.0,14,0,4,0,1.0,0,7500.0
0.033623665,56,0,0.247998528,10866.0,9,0,1,0,1.0,0,5433.0
0.487720982,48,0,0.174092589,4600.0,9,0,0,0,1.0,0,2300.0
0.9999999,65,2,0.510247855,4195.0,3,0,1,0,0.0,2,4195.0
0.065665358,42,0,337.660.485,700.0,11,0,1,0,0.0,0,700.0
0.0367944,40,0,0.275274657,8100.0,12,0,3,0,2.0,0,2700.0
0.176212674,46,0,0.347685857,6200.0,14,0,2,0,1.0,0,3100.0
0,29,0,0.01386297,3750.0,5,0,0,0,0.0,0,3750.0
0.873418158,42,0,0.314513685,9900.0,7,0,1,0,1.0,0,4950.0
0.9999999,41,0,0,2200.0,0,1,0,0,5.0,1,366.6666666666667
1.640.718.563,42,2,0.382641841,6820.0,3,6,2,0,0.0,8,6820.0
1.044.711.014,33,1,0.773572965,7900.0,7,0,1,0,3.0,1,1975.0
0.008116496,64,0,0.117417389,10500.0,9,0,1,0,0.0,0,10500.0
0.953653682,44,2,1.846.153.846,3158.0,12,0,3,0,2.0,2,1052.6666666666667
0.265241986,31,0,0.109378124,5000.0,4,0,0,0,3.0,0,1250.0
0.019258546,55,0,0.408448183,11173.0,6,0,2,0,1.0,0,5586.5
0.004484794,47,1,0.341655278,30000.0,8,0,4,0,4.0,1,6000.0
0.333044464,66,0,0.996775234,3100.0,14,0,1,0,0.0,0,3100.0
0.017566618,33,0,0.399509136,7333.0,9,0,2,0,1.0,0,3666.5
0.053744044,42,0,915.05.00,1.0,4,0,1,0,3.0,0,0.25
0.722543353,30,0,0.86087198,3600.0,12,0,2,0,0.0,0,3600.0
0.470606617,63,0,0.182806236,11224.0,7,0,1,0,1.0,0,5612.0
0.967960874,35,7,0.195991091,8081.0,13,0,0,1,1.0,8,4040.5
0.436209635,34,0,0.217353199,2281.0,6,0,0,0,0.0,0,2281.0
0.609033621,42,0,0.311413969,5869.0,8,0,0,0,3.0,0,1467.25
0,50,0,0.270363951,7500.0,7,0,1,0,3.0,0,1875.0
0.005316864,63,0,0.172366504,11666.0,10,0,1,0,0.0,0,11666.0
0.08191257,63,0,0.397891534,9200.0,18,0,2,0,2.0,0,3066.6666666666665
0.024365339,53,0,0.378909493,10838.0,14,0,2,0,2.0,0,3612.6666666666665
0,51,0,0.043246187,9179.0,9,0,0,0,4.0,0,1835.8
0.74690124,56,0,0.790546047,2453.0,10,0,2,0,0.0,0,2453.0
0.891881083,45,1,0.755136036,1800.0,7,0,1,1,2.0,2,600.0
0,61,0,0,9916.0,2,0,0,0,0.0,0,9916.0
0,41,1,0.276644863,7796.0,8,0,1,0,0.0,1,7796.0
0.428244257,45,0,1.128.297.695,3600.0,10,0,1,0,3.0,0,900.0
0.136406818,57,0,0.146261391,53000.0,17,0,1,0,3.0,0,13250.0
0.997834969,52,1,0.48854558,18900.0,13,0,2,0,2.0,1,6300.0
0.195848771,47,1,0.455308938,5000.0,13,0,2,0,1.0,1,2500.0
0.07911294,45,0,0.174030903,11066.0,5,0,2,0,0.0,0,11066.0
0.08293358,47,1,0.232316697,34000.0,7,0,2,0,4.0,1,6800.0
0.187684339,60,0,0.349673203,11933.0,9,0,2,0,0.0,0,11933.0
0.930856201,57,0,0.384912461,3883.0,3,0,1,0,0.0,0,3883.0
0.100380811,40,0,0.120496466,5800.0,6,0,0,0,2.0,0,1933.3333333333333
0.003774367,52,0,0.466523835,5600.0,9,0,1,0,2.0,0,1866.6666666666667
0.466235402,36,0,0.169728784,8000.0,11,0,1,0,2.0,0,2666.6666666666665
0.490450955,38,0,0.32122905,8233.0,9,0,2,0,1.0,0,4116.5
0.001119386,64,0,0.255654014,7560.0,14,0,2,0,0.0,0,7560.0
0.05168249,69,0,0.007358953,3668.0,5,0,0,0,0.0,0,3668.0
0.022716553,77,0,0.837676843,9400.0,26,0,7,0,0.0,0,9400.0
0.491892557,51,0,0.599175103,8000.0,12,0,2,0,0.0,0,8000.0
0.16182791,29,0,0.383652718,2556.0,8,0,2,0,0.0,0,2556.0
0.245941515,45,0,0.159877956,6554.0,12,0,0,0,4.0,0,1310.8
0.805431534,51,0,0.399456857,8100.0,11,0,2,0,1.0,0,4050.0
0.074269222,57,0,0.233517342,9600.0,14,0,1,0,1.0,0,4800.0
0.555147059,41,1,0.142411966,3208.0,3,1,0,0,2.0,2,1069.3333333333333
0.429246267,59,0,0.381254316,15928.0,17,0,1,0,1.0,0,7964.0
0.9999999,36,0,0.070403147,5084.0,2,0,0,0,0.0,0,5084.0
0.146863403,48,0,0.391087739,3612.0,9,0,1,0,0.0,0,3612.0
0.9999999,47,1,1251,0.0,3,0,1,2,0.0,3,0.0
0.038249363,56,0,0.311351351,3699.0,10,0,1,0,2.0,0,1233.0
0.038860841,46,0,0.631936806,10000.0,14,0,2,0,2.0,0,3333.3333333333335
0.316947175,40,1,0.211964673,6000.0,9,0,1,0,0.0,1,6000.0
0.002349883,66,0,0.39184953,5103.0,5,0,2,0,0.0,0,5103.0
0.124904105,39,0,0.172877659,5500.0,17,0,0,0,0.0,0,5500.0
0.9999999,50,1,0.16091954,2000.0,1,0,0,1,2.0,2,666.6666666666666
0.211381174,44,0,0.663668166,2000.0,10,0,1,0,0.0,0,2000.0
0.173090659,51,0,0.277461464,7200.0,9,0,2,0,0.0,0,7200.0
0.912004957,45,1,0.409164508,6175.0,6,0,2,0,1.0,1,3087.5
0.044690589,54,1,0.537856441,9152.0,12,0,3,0,0.0,1,9152.0
0.009551395,40,0,0.280412946,3583.0,7,0,1,0,3.0,0,895.75
0.070110279,80,0,0.173448238,9166.0,7,0,2,0,0.0,0,9166.0
0.00287977,68,0,0.000215796,4633.0,2,0,0,0,0.0,0,4633.0
0.455950788,63,1,0.701766078,6001.0,19,0,2,0,0.0,1,6001.0
0.715418972,51,1,0.596203043,7426.0,8,0,2,0,0.0,1,7426.0
0.070533314,61,1,0.166666667,4601.0,11,0,1,0,0.0,1,4601.0
0.409278387,53,0,0.682947522,8250.0,15,0,2,0,0.0,0,8250.0
0,45,0,0.211162622,11000.0,7,0,1,0,0.0,0,11000.0
0.039998671,60,0,0.12202326,10833.0,8,0,1,0,0.0,0,10833.0
0.063772851,48,0,0.87443754,4666.0,9,0,3,0,1.0,0,2333.0
0.9999999,51,0,0.520699891,6400.0,4,0,1,0,0.0,0,6400.0
0.023234379,52,0,0.305738852,5000.0,6,0,1,0,2.0,0,1666.6666666666667
0.9999999,34,0,0.225852955,2080.0,2,0,0,0,0.0,0,2080.0
1.963.226.308,66,1,0.310291329,5800.0,7,0,1,0,0.0,1,5800.0
0.100551375,63,0,0.203275652,23750.0,14,0,2,0,1.0,0,11875.0
0.309172707,46,0,0.019832189,2621.0,5,0,0,0,0.0,0,2621.0
0.793012525,34,0,0.400127632,4700.0,16,1,1,0,1.0,1,2350.0
0.040638847,50,0,0.443213649,7853.0,10,0,2,0,0.0,0,7853.0
0.962976675,72,0,0.589764094,2500.0,8,0,2,0,0.0,0,2500.0
0.527629502,49,2,0.455886158,3864.0,10,0,2,0,2.0,2,1288.0
0.038539905,63,0,0.267066552,3500.0,2,0,2,0,0.0,0,3500.0
0.00159192,80,0,0.157878118,3166.0,12,0,0,0,0.0,0,3166.0
0.042508441,69,0,0.448163443,4600.0,9,0,2,0,0.0,0,4600.0
0.047057093,37,0,0.580847384,4625.0,9,0,1,0,1.0,0,2312.5
0.333650756,45,1,0.328614009,4025.0,3,0,1,0,2.0,1,1341.6666666666667
0.507972665,69,2,0.193935355,3000.0,10,2,0,2,0.0,6,3000.0
0.437767424,32,0,0.74970344,5900.0,11,0,3,0,1.0,0,2950.0
0.166922758,66,0,0.482984042,5200.0,8,0,1,0,0.0,0,5200.0
0.004089215,76,0,0.002313354,4754.0,10,0,0,0,0.0,0,4754.0
0.064528566,66,0,0.204363436,3620.0,7,0,1,0,0.0,0,3620.0
7.96E-05,70,0,0.256339661,6900.0,21,1,1,0,0.0,1,6900.0
0.9999999,34,0,0.091903363,6125.0,3,0,0,0,0.0,0,6125.0
0.978873721,62,2,0.36139104,73728.0,11,0,7,0,2.0,2,24576.0
0.141346805,40,0,0.21945433,5900.0,8,0,0,0,2.0,0,1966.6666666666667
0.006502377,33,0,0.00149925,2000.0,4,0,0,0,0.0,0,2000.0
0.072853674,84,0,0.017301038,2600.0,4,0,0,0,1.0,0,1300.0
0.125623449,41,0,0.065363958,8750.0,8,0,1,0,3.0,0,2187.5
0,24,0,0,3100.0,1,0,0,0,0.0,0,3100.0
0.07477959,38,0,0.095322545,4510.0,6,0,0,0,0.0,0,4510.0
0.502497502,31,0,0.422315537,3333.0,10,0,1,0,0.0,0,3333.0
0.014861093,73,1,0.357924798,2100.0,8,0,1,0,0.0,1,2100.0
0.024639786,56,0,0.267716535,8000.0,9,0,1,0,2.0,0,2666.6666666666665
0.014866994,44,0,0.055972248,10665.0,7,0,0,0,2.0,0,3555.0
0.084792539,42,0,0.199426686,30000.0,13,0,2,0,1.0,0,15000.0
0.495385945,65,0,0.24634203,25833.0,7,0,1,0,0.0,0,25833.0
0.327420547,41,0,0.435112977,5000.0,4,0,1,0,0.0,0,5000.0
0.138201413,60,0,0.227549777,2460.0,6,0,1,0,1.0,0,1230.0
0.9999999,74,0,0.016327891,3000.0,4,0,0,0,0.0,0,3000.0
0.03957927,69,0,0.007498828,6400.0,5,0,0,0,0.0,0,6400.0
0.507390386,55,1,0.502845716,6500.0,5,0,2,1,2.0,2,2166.6666666666665
0.015461723,52,1,0.226977302,10000.0,20,0,1,0,2.0,1,3333.3333333333335
0.35936384,58,0,0.34237966,7000.0,10,0,2,0,0.0,0,7000.0
0.136859209,58,0,0.801878179,7666.0,16,0,2,0,0.0,0,7666.0
0.009880364,41,0,0.153947949,6800.0,2,0,1,0,2.0,0,2266.6666666666665
0.516730844,39,0,0.059305411,26000.0,10,0,1,0,0.0,0,26000.0
0.164384418,57,0,0.303438197,13000.0,10,1,2,0,0.0,1,13000.0
0.332156756,44,0,0.292724196,6500.0,8,0,2,0,0.0,0,6500.0
0.008755768,49,0,0.388282596,3481.0,17,0,1,0,1.0,0,1740.5
1.027.218.442,33,0,2.691.837.868,1800.0,5,0,3,0,0.0,0,1800.0
0.061507113,29,0,0.306138772,5000.0,7,0,2,0,1.0,0,2500.0
0.157661889,40,0,0.282071793,10000.0,16,0,1,0,2.0,0,3333.3333333333335
0.537372047,75,0,0.494950505,10000.0,18,0,2,0,0.0,0,10000.0
0.069029977,53,0,0.343821304,8326.0,8,0,2,0,2.0,0,2775.3333333333335
0.251883177,61,1,0.519248075,10000.0,12,0,2,0,0.0,1,10000.0
0.079299294,65,0,0.210105319,7500.0,6,0,1,0,0.0,0,7500.0
0.000339619,34,0,1.293.853.073,2000.0,5,0,1,0,0.0,0,2000.0
1.295.681.063,59,0,0.016661113,3000.0,1,0,0,0,0.0,0,3000.0
0.366794376,66,1,0.537846245,6750.0,17,0,2,1,0.0,2,6750.0
0.001398663,63,0,0.22746385,9750.0,11,0,2,0,1.0,0,4875.0
0.742987175,42,0,0.397651114,15666.0,15,0,2,0,2.0,0,5222.0
0.0048597,64,0,2.765.293.383,800.0,11,0,2,0,0.0,0,800.0
0.611033747,35,1,0.499613103,3876.0,12,0,0,1,0.0,2,3876.0
0.9999999,58,0,0.120584756,11833.0,4,0,1,0,1.0,0,5916.5
0.034024149,52,0,0.194585773,10416.0,4,0,1,0,0.0,0,10416.0
0.036507312,60,0,0.246927169,5450.0,11,0,2,0,0.0,0,5450.0
0.079355286,47,0,0.303698047,9166.0,12,1,1,0,1.0,1,4583.0
0.458843785,42,0,0.133223004,2416.0,4,0,0,0,0.0,0,2416.0
0.366558904,67,0,0.524835989,3200.0,6,0,2,0,0.0,0,3200.0
0.051011044,40,0,0.424135593,7374.0,5,0,2,0,0.0,0,7374.0
0.017571746,82,0,0.104579084,5000.0,8,0,0,0,0.0,0,5000.0
0.526641476,34,0,0.310344828,2000.0,4,0,0,0,2.0,0,666.6666666666666
0.073387449,71,0,0.178843227,7883.0,11,0,1,0,0.0,0,7883.0
0.878805239,73,0,1.541.677.191,7917.0,17,0,4,0,1.0,0,3958.5
0.957100422,49,1,1.427.800.998,7416.0,17,0,9,1,3.0,2,1854.0
0.236947471,44,0,0.292136521,6650.0,14,0,2,0,0.0,0,6650.0
0.843384062,52,0,0.515337423,4400.0,7,0,2,0,2.0,0,1466.6666666666667
0.043246865,43,0,0.39133808,58000.0,17,0,5,0,0.0,0,58000.0
0.07132533,60,2,0.157855268,8000.0,15,0,0,0,0.0,2,8000.0
0.223762047,77,0,0.829872327,6500.0,27,0,3,0,1.0,0,3250.0
0.9999999,34,0,0.544151949,3000.0,4,0,2,1,2.0,1,1000.0
0,30,0,0.05679418,4260.0,3,0,0,0,0.0,0,4260.0
0.268871096,48,0,0.861753785,3500.0,9,0,1,0,0.0,0,3500.0
0.317405046,65,0,0.415714572,14966.0,9,0,5,0,0.0,0,14966.0
0.011796148,78,0,0.046035806,4300.0,5,0,0,0,0.0,0,4300.0
0,30,0,0.02365878,3000.0,4,0,0,0,0.0,0,3000.0
0.9999999,38,0,0.027486257,2000.0,0,2,0,0,2.0,2,666.6666666666666
0.004189583,56,1,0.229809418,11700.0,16,0,1,0,2.0,1,3900.0
0,51,0,0.496846639,6500.0,10,1,1,0,1.0,1,3250.0
0.052998738,53,2,0.829034193,3333.0,15,0,2,0,0.0,2,3333.0
0.9999999,30,98,0,2200.0,0,98,0,98,0.0,294,2200.0
0.991916835,54,0,0.604577743,3800.0,4,0,0,0,0.0,0,3800.0
0.015161046,47,0,0.234221262,4166.0,4,0,1,0,0.0,0,4166.0
0.648947951,37,0,0.748032512,7750.0,11,0,3,0,2.0,0,2583.3333333333335
0.027298635,49,0,0.002221914,7200.0,2,0,0,0,0.0,0,7200.0
0.03050813,79,0,0.018878401,1800.0,13,0,0,0,0.0,0,1800.0
0.108937856,48,0,0.493908154,3200.0,9,0,1,0,2.0,0,1066.6666666666667
0.65017091,35,0,0.587010824,1200.0,4,0,0,0,2.0,0,400.0
0.108554449,54,3,0.481497606,6890.0,29,0,5,0,0.0,3,6890.0
0.540719036,63,3,0.525405787,2833.0,13,0,3,0,0.0,3,2833.0
0.04014273,69,0,0.537348547,8500.0,25,0,3,0,0.0,0,8500.0
0.010471654,29,0,0.064552985,3500.0,11,0,0,0,1.0,0,1750.0
0.659856553,40,0,643,0.0,9,0,0,2,0.0,2,0.0
0.9999999,56,2,0.737290464,3638.0,5,1,2,1,0.0,4,3638.0
0,46,0,0,0.0,1,0,0,0,0.0,0,0.0
0.984116338,29,0,0.342776204,6000.0,4,0,0,0,3.0,0,1500.0
0.040739815,37,0,0.11170056,3392.0,5,0,0,0,0.0,0,3392.0
0.008944019,80,0,0.003917728,2041.0,3,0,0,0,0.0,0,2041.0
0.035988004,42,0,0.090311987,7916.0,3,0,1,0,0.0,0,7916.0
4.23E-05,51,0,0.06587473,8333.0,7,0,0,0,1.0,0,4166.5
0.012602567,50,0,0.081209609,8200.0,5,0,0,0,1.0,0,4100.0
0.482473731,52,2,0.34347275,7100.0,8,2,1,2,1.0,6,3550.0
0.235650957,47,0,1.390.812.479,2916.0,7,0,3,0,1.0,0,1458.0
0.009815373,65,1,0.223946785,7666.0,9,0,2,0,1.0,1,3833.0
0.341836828,49,0,0.35089694,14214.0,10,0,1,0,4.0,0,2842.8
0.020385002,60,0,0.003999429,7000.0,5,0,0,0,0.0,0,7000.0
0.47800964,64,0,0.281345566,2942.0,7,0,1,0,0.0,0,2942.0
0.001215639,58,0,0.067955917,33300.0,4,0,1,0,1.0,0,16650.0
0,44,0,0.517091153,2983.0,3,0,1,0,0.0,0,2983.0
0.058089706,33,0,0.141524106,4500.0,11,0,0,0,0.0,0,4500.0
0.091147248,62,0,0.203218741,10500.0,8,0,1,0,0.0,0,10500.0
0.9999999,40,0,0.221955609,5000.0,3,2,0,1,2.0,3,1666.6666666666667
1.015.830.035,36,3,0.497920605,2644.0,6,0,0,1,0.0,4,2644.0
0.921325598,52,1,0.387417985,12954.0,21,0,1,0,4.0,1,2590.8
0.085927154,62,0,0.359303391,12000.0,12,0,2,1,0.0,1,12000.0
0.328263721,54,0,0.317280453,6000.0,12,0,0,0,1.0,0,3000.0
0.000225558,53,0,0.358501015,10833.0,10,0,3,0,0.0,0,10833.0
0.043631904,60,0,0.171692117,12900.0,14,0,1,0,3.0,0,3225.0
0.348969935,58,0,0.339102742,7221.0,15,0,2,0,2.0,0,2407.0
0.03907252,69,0,0.072256305,4400.0,14,0,0,0,0.0,0,4400.0
0.03870728,57,0,0.228408895,5800.0,10,0,2,0,0.0,0,5800.0
0,72,0,0.189591078,3227.0,7,0,1,0,0.0,0,3227.0
0.414706606,43,0,0.276551594,5300.0,9,0,1,0,4.0,0,1060.0
0.070040433,46,0,0.438324934,8333.0,7,0,1,0,2.0,0,2777.6666666666665
0.771300448,55,0,0.340794133,7907.0,17,0,1,0,1.0,0,3953.5
0.9999999,63,0,0.594646888,3100.0,4,0,1,0,1.0,0,1550.0
0.241423781,76,0,0.124627771,9066.0,6,0,1,0,1.0,0,4533.0
0.40019879,66,1,126.826.946,4200.0,18,0,2,0,1.0,1,2100.0
0.988023952,38,1,0.729276896,2267.0,4,2,1,2,0.0,5,2267.0
0,65,0,0.522873856,6666.0,13,0,1,0,0.0,0,6666.0
0,34,0,0.18952419,2500.0,13,0,0,0,0.0,0,2500.0
0.03839872,66,0,0.00679864,5000.0,4,0,0,0,0.0,0,5000.0
0.00239905,63,1,0.256857169,10900.0,19,0,2,0,3.0,1,2725.0
0.9999999,51,1,0.070742022,2600.0,1,1,0,1,1.0,3,1300.0
0.195523143,58,0,0.291185971,6500.0,16,0,1,0,4.0,0,1300.0
0.278714752,31,0,0.317121919,1500.0,9,0,0,0,0.0,0,1500.0
0.156159836,52,0,0.479815456,5201.0,7,0,2,0,2.0,0,1733.6666666666667
0.784234416,43,0,0.679856872,4750.0,10,0,1,0,4.0,0,950.0
0.012987013,60,0,0.26446791,14583.0,5,0,2,0,0.0,0,14583.0
0.171424431,40,0,0.219871205,3260.0,4,0,1,0,0.0,0,3260.0
0.317147219,47,0,0.365202245,5166.0,16,0,2,0,0.0,0,5166.0
